car_name,yr_mfr,fuel_type,kms_run,sale_price,city,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,make,model,total_owners,original_price,car_rating,fitness_certificate
hyundai i10,2010,petrol,5383,409299,hyderabad,hatchback,automatic,asta 1.2 at with sunroof,True,hyderabad,telangana,True,ap09,hyundai,i10,1,473317.0,great,True
renault kwid,2017,petrol,19944,412499,hyderabad,hatchback,Unknown,climber 1.0 at,True,hyderabad,telangana,True,ts07,renault,kwid,1,Unknown,great,True
maruti eeco,2019,petrol,8294,414099,hyderabad,suv,manual,5 str with ac plushtr,True,hyderabad,telangana,True,ts10,maruti,eeco,1,414199.0,great,True
hyundai i20,2012,diesel,38856,411499,hyderabad,hatchback,manual,magna o 1.4 crdi,True,hyderabad,telangana,True,ap09,hyundai,i20,1,484252.0,great,True
maruti wagon r 1.0,2012,petrol,46828,330899,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap28,maruti,wagon r 1.0,2,Unknown,great,True
hyundai santro xing,2012,petrol,30692,291599,hyderabad,hatchback,manual,gls,True,hyderabad,telangana,True,ap28,hyundai,santro xing,1,356064.0,great,True
maruti eeco,2019,petrol,8647,452899,hyderabad,suv,manual,5 str with ac plushtr,True,hyderabad,telangana,True,ts08,maruti,eeco,1,550009.0,great,True
maruti eeco,2020,petrol,17082,417099,hyderabad,suv,manual,5 str with ac plushtr,True,hyderabad,telangana,True,ts07,maruti,eeco,1,509100.0,great,True
maruti swift dzire,2014,petrol,35103,498699,hyderabad,sedan,manual,vxi 1.2 bs iv,True,hyderabad,telangana,True,ts07,maruti,swift dzire,1,581647.0,great,True
hyundai i10,2013,petrol,55302,364999,hyderabad,hatchback,manual,magna 1.2 kappa2,True,hyderabad,telangana,True,ap28,hyundai,i10,1,Unknown,great,True
hyundai i20,2012,petrol,51853,396499,hyderabad,hatchback,manual,sportz 1.2 vtvt,True,hyderabad,telangana,True,ap09,hyundai,i20,1,440383.0,great,True
hyundai i10,2012,petrol,56900,318099,hyderabad,hatchback,manual,sportz 1.2 kappa2,True,hyderabad,telangana,True,ap28,hyundai,i10,1,318199.0,great,True
maruti alto 800,2018,petrol,7885,344199,hyderabad,hatchback,manual,lxi,True,-do,andhra pradesh,True,ap16,maruti,alto 800,1,344999.0,great,True
maruti alto 800,2013,petrol,4264,277499,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap10,maruti,alto 800,1,333372.0,great,True
maruti alto k10,2013,petrol,33274,274499,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap29,maruti,alto k10,1,300028.0,great,True
hyundai i10,2013,petrol,35377,383199,hyderabad,hatchback,manual,magna 1.2 kappa2,True,hyderabad,telangana,True,ap11,hyundai,i10,1,Unknown,great,True
maruti alto 800,2018,petrol,16208,331499,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ts08,maruti,alto 800,1,399923.0,great,True
maruti swift dzire,2015,petrol,15516,562199,hyderabad,sedan,manual,vxi 1.2 bs iv,True,hyderabad,telangana,True,ts10,maruti,swift dzire,1,690608.0,great,True
maruti alto k10,2012,petrol,29160,261299,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap29,maruti,alto k10,1,296729.0,good,True
hyundai eon,2015,petrol,22377,314399,hyderabad,hatchback,manual,magna plus,True,hyderabad,telangana,True,ts09,hyundai,eon,1,373935.0,great,True
maruti alto,2011,petrol,31119,243699,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap09,maruti,alto,1,272088.0,great,True
maruti wagon r 1.0,2011,petrol,55981,293199,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap28,maruti,wagon r 1.0,1,352609.0,great,True
ford new figo,2016,petrol,40924,398999,hyderabad,hatchback,manual,1.2 titanium,True,hyderabad,telangana,True,ts07,ford,new figo,1,486580.0,great,True
hyundai i10,2009,petrol,27034,274299,hyderabad,hatchback,manual,magna 1.2,True,hyderabad,telangana,True,ap29,hyundai,i10,1,315770.0,great,True
hyundai i10,2010,petrol,34430,313199,hyderabad,hatchback,manual,magna 1.2,True,hyderabad,telangana,True,ap10,hyundai,i10,1,366688.0,great,True
